,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Ansprechperson,Email,Status,Kurzzusammenfassung,Unnamed: 10
0,https://correlaid.org//daten-nutzen/projektdatenbank/2025-05-CAS,Automatisierung von Reportings aus Evaluationsdaten,"['Reporting', 'Visualisierung', 'Automatisierung', 'Wirkungsmessung']",['Umfrage'],,Coach@School,,,,Unterstützung von coach@school mit automatisiertem Reporting aus Evaluationsdaten wie Lehrkräftebefragungen zur Reduzierung des Verwaltungsaufwands.,
1,https://correlaid.org//daten-nutzen/projektdatenbank/2025-05-SIL,Improving and upgrading the Silbernetz dashboard,"['Reporting', 'Visualisierung', 'Wirkungsmessung']","['Prozess', 'Geo']",,Silbernetz e.V.,,,,Bring the Silbernetz dashboard to the next level of stability and performance!,
2,https://correlaid.org//daten-nutzen/projektdatenbank/2024-12-SIN,Automatisiertes Qualitätsmanagement für ein Mentoringprogramm,"['Reporting', 'Visualisierung', 'Automatisierung']","['Umfrage', 'Prozess', 'Verwaltung']",,Sindbad,,,,Ein flexibles Dashboard: Mentoring-Feedback einfach verstehen und gezielt auswerten.,
3,https://correlaid.org//daten-nutzen/projektdatenbank/2025-01-SGC,Data Story mit Konstanzer Klima- und Wetterdaten,"['Visualisierung', 'Datenmanagement']",['Open Data'],,Smart Green City Konstanz,,,,"Wir entwickeln eine Data Story, die den Bürger*innen in Konstanz anhand offener Klima- und Wetterdaten die Folgen des Klimawandels anschaulich vermittelt.",
4,https://correlaid.org//daten-nutzen/projektdatenbank/2024-09-CHW,Automatisiertes Monitoring der Zielgruppenentwicklung im Zeitverlauf,"['Reporting', 'Visualisierung', 'Automatisierung', 'Wirkungsmessung']","['Panel', 'Umfrage']",,Chancenwerk e.V.,,,,Unterstützung von Chancenwerk mit automatisierter Umfrageauswertung zur Reduzierung des Verwaltungsaufwands.,
5,https://correlaid.org//daten-nutzen/projektdatenbank/2024-03-PZA,Open Data aus Bürger- und Jugendbeteiligungsprojekten,"['Datenerhebung', 'Datenmanagement', 'KI']","['Open Data', 'Verwaltung', 'Umfrage']",,Politik zum Anfassen e.V.,,,,Wir unterstützten die Umsetzung eines Datenprojekts durch das Civic Data Lab und halfen einer teilnehmenden Organisation bei der Bewältigung eines Datenproblems.,
6,https://correlaid.org//daten-nutzen/projektdatenbank/2024-03-LEM,"Back- und Frontend, Contententwicklung, UX-Testing und rechtliche Prüfung mit Umsetzung der entsprechenden Änderungen des Webseiten-Relaunchs von Leerstandsmelder.de","['Webentwicklung', 'Explorative Analyse']","['Prozess', 'Umfrage']",,Leerstandsmelder; Gängeviertel e.V.,,,,Wir haben an einem Datenprojekt mit dem Civic Data Lab mitgewirkt und eine Partnerorganisation bei Datenproblemen unterstützt.,
7,https://correlaid.org//daten-nutzen/projektdatenbank/2024-06-BAB,Automatisierte Fragebogenauswertung mit Generativer KI,['Reporting'],['Umfrage'],,Babylotse,,,,Mithilfe von Large Language Models wertete CorrelAid e.V. die von der Initiative Babylotse Frankfurt erhobenen Umfragedaten zu Bedarfen von Familien mit Babys aus. Die identifizierten Bedürfnisse und Anliegen konnten so wirkungsvoll an politische Entscheidungsträger*innen kommuniziert werden. ,
8,https://correlaid.org//daten-nutzen/projektdatenbank/2023-10-ISH,Mithilfe von KI Wirkungsmessung skalieren,"['Modellierung', 'KI', 'NLP']","['Text', 'Prozess']",,In safe hands e.V.,,,,"Wir haben ein Tool entwickelt, das die Auswertung von Teilnehmerbefragungen für ein sportpädagogisches Präventionsprogramm unterstützt. Dabei werden Algorithmen des maschinellen Lernens eingesetzt, um Kodierungen für Antworten vorzuschlagen und so Zeit für komplexere Fälle zu gewinnen.",
9,https://correlaid.org//daten-nutzen/projektdatenbank/2023-12-DEM,Mit Daten zu transparenterer Demokratie,"['Open Source', 'Visualisierung']","['Open Data', 'Verwaltung']",,Demokratie-Wegweiser,,,,"In Zusammenarbeit mit CorrelAid haben wir eine Lösung für das Projekt ""Demokratie Wegweiser"" entwickelt, die strukturelle Probleme bei der Bereitstellung zuverlässiger Daten für die Bürger angeht.",
